"GEO_ID","NAME","B08301_001E","B08301_001M","B08301_002E","B08301_002M","B08301_003E","B08301_003M","B08301_004E","B08301_004M","B08301_005E","B08301_005M","B08301_006E","B08301_006M","B08301_007E","B08301_007M","B08301_008E","B08301_008M","B08301_009E","B08301_009M","B08301_010E","B08301_010M","B08301_011E","B08301_011M","B08301_012E","B08301_012M","B08301_013E","B08301_013M","B08301_014E","B08301_014M","B08301_015E","B08301_015M","B08301_016E","B08301_016M","B08301_017E","B08301_017M","B08301_018E","B08301_018M","B08301_019E","B08301_019M","B08301_020E","B08301_020M","B08301_021E","B08301_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Car, truck, or van:","Margin of Error!!Total:!!Car, truck, or van:","Estimate!!Total:!!Car, truck, or van:!!Drove alone","Margin of Error!!Total:!!Car, truck, or van:!!Drove alone","Estimate!!Total:!!Car, truck, or van:!!Carpooled:","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Estimate!!Total:!!Public transportation (excluding taxicab):","Margin of Error!!Total:!!Public transportation (excluding taxicab):","Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Bus","Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Estimate!!Total:!!Taxicab","Margin of Error!!Total:!!Taxicab","Estimate!!Total:!!Motorcycle","Margin of Error!!Total:!!Motorcycle","Estimate!!Total:!!Bicycle","Margin of Error!!Total:!!Bicycle","Estimate!!Total:!!Walked","Margin of Error!!Total:!!Walked","Estimate!!Total:!!Other means","Margin of Error!!Total:!!Other means","Estimate!!Total:!!Worked from home","Margin of Error!!Total:!!Worked from home",
"0500000US29077","Greene County, Missouri","137769","1952","124817","1961","112321","2046","12496","978","10394","910","1240","245","519","209","201","99","142","80","1256","355","1211","340","0","28","45","73","0","28","0","28","58","57","147","81","538","204","2430","349","846","271","7677","843",
"0500000US29079","Grundy County, Missouri","4270","193","3574","252","3285","252","289","86","182","56","60","31","28","19","19","29","0","17","78","69","34","35","44","58","0","17","0","17","0","17","0","17","0","17","18","20","189","92","74","31","337","96",
"0500000US29081","Harrison County, Missouri","3425","236","2975","219","2619","232","356","110","203","71","67","40","86","73","0","17","0","17","6","7","6","7","0","17","0","17","0","17","0","17","0","17","9","14","0","17","130","65","76","41","229","98",
"0500000US29083","Henry County, Missouri","9204","335","8541","323","7732","342","809","145","656","145","98","57","24","29","29","40","2","5","15","21","15","21","0","22","0","22","0","22","0","22","0","22","1","2","0","22","131","93","14","13","502","140",
"0500000US29085","Hickory County, Missouri","2840","287","2569","289","2379","274","190","60","174","57","12","18","4","7","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","106","134","0","17","0","17","19","20","35","32","111","59",
"0500000US29087","Holt County, Missouri","1957","91","1754","83","1567","83","187","49","155","41","0","12","3","5","1","4","28","34","1","2","1","2","0","12","0","12","0","12","0","12","0","12","0","12","0","12","60","27","9","9","133","54",
"0500000US29089","Howard County, Missouri","4683","227","4116","228","3514","208","602","140","518","139","83","35","1","2","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","1","3","0","19","166","77","80","57","320","107",
"0500000US29091","Howell County, Missouri","15288","669","14499","676","12771","725","1728","351","1441","338","197","104","50","36","37","54","3","7","50","61","50","61","0","25","0","25","0","25","0","25","5","8","0","25","0","25","159","68","144","79","431","173",
"0500000US29093","Iron County, Missouri","3815","268","3629","260","3201","223","428","128","341","128","53","29","32","22","0","19","2","3","7","7","4","6","3","5","0","19","0","19","0","19","0","19","0","19","0","19","36","20","46","36","97","57",
"0500000US29095","Jackson County, Missouri","348975","2353","308153","2552","284703","2666","23450","1560","18183","1261","3296","562","1116","310","512","159","343","126","6855","677","6454","650","0","28","88","118","237","82","76","64","442","200","270","112","662","188","5167","515","3304","660","24122","1511",
"0500000US29097","Jasper County, Missouri","55180","1156","50962","1133","45621","1182","5341","566","4258","556","641","224","173","99","243","121","26","24","94","65","94","65","0","28","0","28","0","28","0","28","30","29","157","109","133","83","810","204","427","161","2567","491",
"0500000US29099","Jefferson County, Missouri","111108","1563","103294","2018","94843","2051","8451","649","6293","543","1318","347","448","180","317","156","75","54","148","85","114","76","34","36","0","28","0","28","0","28","0","28","226","286","8","13","599","199","706","239","6127","1158",
"0500000US29101","Johnson County, Missouri","26330","765","23840","805","21335","804","2505","429","1459","307","785","287","69","42","109","76","83","80","11","14","11","14","0","28","0","28","0","28","0","28","29","44","103","71","41","47","1006","252","117","57","1183","277",
"0500000US29103","Knox County, Missouri","1661","114","1251","122","1142","117","109","47","84","46","22","25","3","5","0","12","0","12","1","2","1","2","0","12","0","12","0","12","0","12","0","12","0","12","0","12","19","14","24","20","366","112",
"0500000US29105","Laclede County, Missouri","15555","610","14452","606","12463","659","1989","494","1663","447","180","96","71","84","75","74","0","25","0","25","0","25","0","25","0","25","0","25","0","25","8","15","0","25","0","25","224","137","235","140","636","237",
"0500000US29107","Lafayette County, Missouri","15182","773","13752","747","12239","820","1513","322","1095","288","188","129","48","42","162","74","20","20","2","3","2","3","0","25","0","25","0","25","0","25","0","25","1","3","18","27","263","107","84","50","1062","328",
"0500000US29109","Lawrence County, Missouri","16195","693","14442","719","12938","710","1504","303","1352","299","79","57","36","41","37","40","0","25","1","2","1","2","0","25","0","25","0","25","0","25","0","25","29","37","21","42","260","105","428","201","1014","260",
