"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!No schooling completed","Margin of Error!!Total!!No schooling completed","Estimate!!Total!!Nursery school","Margin of Error!!Total!!Nursery school","Estimate!!Total!!Kindergarten","Margin of Error!!Total!!Kindergarten","Estimate!!Total!!1st grade","Margin of Error!!Total!!1st grade","Estimate!!Total!!2nd grade","Margin of Error!!Total!!2nd grade","Estimate!!Total!!3rd grade","Margin of Error!!Total!!3rd grade","Estimate!!Total!!4th grade","Margin of Error!!Total!!4th grade","Estimate!!Total!!5th grade","Margin of Error!!Total!!5th grade","Estimate!!Total!!6th grade","Margin of Error!!Total!!6th grade","Estimate!!Total!!7th grade","Margin of Error!!Total!!7th grade","Estimate!!Total!!8th grade","Margin of Error!!Total!!8th grade","Estimate!!Total!!9th grade","Margin of Error!!Total!!9th grade","Estimate!!Total!!10th grade","Margin of Error!!Total!!10th grade","Estimate!!Total!!11th grade","Margin of Error!!Total!!11th grade","Estimate!!Total!!12th grade, no diploma","Margin of Error!!Total!!12th grade, no diploma","Estimate!!Total!!Regular high school diploma","Margin of Error!!Total!!Regular high school diploma","Estimate!!Total!!GED or alternative credential","Margin of Error!!Total!!GED or alternative credential","Estimate!!Total!!Some college, less than 1 year","Margin of Error!!Total!!Some college, less than 1 year","Estimate!!Total!!Some college, 1 or more years, no degree","Margin of Error!!Total!!Some college, 1 or more years, no degree","Estimate!!Total!!Associate's degree","Margin of Error!!Total!!Associate's degree","Estimate!!Total!!Bachelor's degree","Margin of Error!!Total!!Bachelor's degree","Estimate!!Total!!Master's degree","Margin of Error!!Total!!Master's degree","Estimate!!Total!!Professional school degree","Margin of Error!!Total!!Professional school degree","Estimate!!Total!!Doctorate degree","Margin of Error!!Total!!Doctorate degree",
"0500000US29051","Cole County, Missouri","51995","161","194","87","10","14","0","26","0","26","0","26","1","4","26","25","37","25","121","84","45","27","889","162","825","196","959","177","854","158","557","152","13506","600","2832","312","3450","363","6929","532","4257","455","10752","659","4317","387","1011","193","423","124",
"0500000US29053","Cooper County, Missouri","12030","88","36","20","0","17","0","17","0","17","3","6","3","4","6","5","15","16","36","29","37","27","374","97","139","62","285","64","262","66","129","46","4033","216","795","141","835","114","1618","167","959","127","1681","182","624","128","120","41","40","22",
"0500000US29055","Crawford County, Missouri","16873","65","301","107","0","20","0","20","0","20","0","20","16","22","0","20","25","25","51","30","145","72","806","185","473","110","922","190","555","156","371","119","5496","432","1240","204","1313","219","1987","243","1061","240","1347","233","567","189","74","55","123","109",
"0500000US29057","Dade County, Missouri","5459","30","50","25","0","15","0","15","0","15","1","2","15","19","0","15","0","15","13","10","14","14","164","55","131","50","123","43","166","43","61","24","2153","157","218","55","489","85","700","104","346","74","514","102","227","63","51","26","23","15",
"0500000US29059","Dallas County, Missouri","11363","68","38","41","0","17","0","17","9","16","0","17","0","17","0","17","0","17","0","17","82","65","670","221","214","122","430","146","358","126","308","140","3949","401","829","195","909","232","1447","268","625","159","975","253","425","148","61","48","34","51",
"0500000US29061","Daviess County, Missouri","5451","33","29","14","0","15","0","15","0","15","0","15","0","15","0","15","0","15","24","21","36","29","337","71","90","35","144","50","100","40","107","37","2006","136","289","58","380","67","624","92","368","55","670","116","146","32","45","23","56","38",
"0500000US29063","DeKalb County, Missouri","9477","12","31","20","0","17","0","17","0","17","0","17","4","6","6","11","29","18","30","23","45","32","186","64","225","75","242","70","391","91","143","68","3018","244","1491","160","673","131","1147","170","529","109","967","182","276","86","25","15","19","16",
"0500000US29065","Dent County, Missouri","10914","85","206","92","0","17","0","17","0","17","0","17","2","4","4","6","14","21","39","38","126","76","699","203","262","139","386","111","383","112","177","67","3696","282","613","121","781","152","1372","196","782","136","872","162","431","125","48","31","21","26",
"0500000US29067","Douglas County, Missouri","9663","30","71","53","0","17","0","17","0","17","0","17","0","17","18","16","8","13","7","8","67","56","368","118","323","141","355","102","583","178","124","54","3626","350","588","192","607","187","1295","258","712","180","590","144","276","130","34","27","11","14",
"0500000US29069","Dunklin County, Missouri","20521","121","328","71","0","23","0","23","20","29","51","32","124","61","121","78","73","40","249","99","130","44","1060","157","836","157","1042","184","1084","218","235","73","6490","417","1260","209","1521","195","2269","259","1279","184","1407","236","600","125","280","103","62","42",
