"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree",
"0500000US29171","Putnam County, Missouri","3361","85","3","7","0","12","0","12","0","12","0","12","0","12","0","12","13","25","0","12","0","12","75","55","3","5","19","25","14","17","35","27","1139","157","163","81","405","104","426","122","308","76","528","132","181","75","49","44","0","12",
"0500000US29173","Ralls County, Missouri","7528","39","76","47","0","19","0","19","0","19","0","19","0","19","0","19","28","32","3","6","2","5","94","53","77","62","94","63","165","70","74","39","3266","296","331","126","530","106","948","181","560","130","802","159","439","137","29","26","10","12",
"0500000US29175","Randolph County, Missouri","16995","106","241","123","0","23","3","5","0","23","0","23","1","3","0","23","6","9","0","23","33","40","217","86","206","95","538","183","245","81","244","101","5796","457","1445","245","1447","258","1513","257","1930","240","2236","290","725","168","92","48","77","45",
"0500000US29177","Ray County, Missouri","16182","95","147","63","0","23","0","23","0","23","0","23","0","23","8","14","0","23","39","60","58","59","186","92","190","107","256","87","309","95","469","143","6008","417","807","167","1427","240","2316","250","1337","211","1835","258","551","147","136","64","103","76",
"0500000US29179","Reynolds County, Missouri","4471","34","55","34","0","17","0","17","0","17","0","17","0","17","1","2","9","11","0","17","28","27","138","50","118","67","166","72","287","92","32","23","1598","188","268","80","293","95","406","78","403","77","507","132","126","62","22","20","14","17",
"0500000US29181","Ripley County, Missouri","7392","48","125","72","0","19","0","19","7","12","0","19","0","19","13","16","0","19","22","17","30","27","221","96","204","97","525","171","70","49","71","32","2308","229","590","173","679","146","922","213","676","156","582","148","218","96","100","55","29","40",
"0500000US29183","St. Charles County, Missouri","287433","72","1958","383","26","32","13","14","20","33","106","92","95","92","18","28","152","84","318","141","198","140","1143","370","1250","381","1408","260","2506","383","3123","466","56857","1950","8566","863","22158","1263","38479","1447","26210","1279","77330","1910","36705","1436","4861","632","3933","416",
"0500000US29185","St. Clair County, Missouri","6957","60","93","63","0","17","0","17","5","7","0","17","0","17","4","7","9","11","19","28","23","27","122","52","81","45","164","55","243","80","213","71","2460","242","490","141","548","118","876","149","585","154","711","166","198","57","70","37","43","32",
"0500000US29186","Ste. Genevieve County, Missouri","13190","69","163","80","0","19","0","19","0","19","0","19","0","19","0","19","29","45","9","14","8","14","66","33","87","60","208","114","103","48","138","68","4664","363","962","273","1573","276","1416","219","1550","313","1441","257","606","157","74","59","93","64",
"0500000US29187","St. Francois County, Missouri","47231","140","714","210","0","29","0","29","0","29","0","29","11","15","2","4","61","65","78","52","134","131","475","129","1030","261","1206","257","1550","309","876","195","14166","791","3271","413","4372","504","6620","786","4518","457","5201","595","2169","321","442","156","335","150",
"0500000US29189","St. Louis County, Missouri","693174","14","6272","607","177","113","118","105","18","22","157","210","197","99","145","89","502","225","1018","288","959","312","3010","505","3318","588","5643","592","7522","869","8946","855","123672","3042","19579","1237","40651","1654","88282","2863","54287","2191","187342","3365","100233","2490","23567","1386","17559","1324",
"0500000US29195","Saline County, Missouri","14816","207","551","224","37","35","4","5","26","34","10","12","60","36","17","27","17","29","90","125","28","20","197","115","204","102","368","92","180","80","238","129","4788","416","728","202","1050","191","1854","248","1011","212","2152","307","926","180","209","92","71","51",
"0500000US29197","Schuyler County, Missouri","2622","31","5","7","0","12","0","12","0","12","0","12","0","12","32","39","0","12","0","12","2","3","53","32","19","17","50","26","10","15","13","9","1239","100","162","56","145","47","301","70","281","82","191","55","86","36","3","6","30","33",
"0500000US29199","Scotland County, Missouri","2944","28","16","23","0","12","0","12","0","12","0","12","0","12","0","12","1","6","0","12","11","10","496","117","91","77","74","40","24","28","49","35","841","143","88","41","281","88","373","115","152","53","286","84","152","62","9","12","0","12",
"0500000US29201","Scott County, Missouri","25710","164","316","115","0","26","8","15","0","26","5","7","21","21","40","56","9","11","53","44","61","41","547","196","385","152","590","169","712","174","432","183","9117","542","1375","255","1529","226","3219","443","1618","233","3800","436","1637","299","129","64","107","71",
"0500000US29203","Shannon County, Missouri","5090","62","92","64","0","17","0","17","0","17","0","17","0","17","0","17","0","17","3","6","12","13","106","56","126","60","176","74","217","88","109","81","2078","224","234","86","303","86","575","135","407","183","414","139","195","70","33","26","10","18",
